любимец # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
дробь # Но как опознать врага? | В кого полетела дробь? | С одной стороны тайга, | С обратной – болота топь.</s>
голос # Если есть твёрдый взгляд, | Лютой воли гранит, | То тогда - различат, | То тогда - убедит.</s>
лютая воля # Если есть твёрдый взгляд, | Лютой воли гранит, | То тогда - различат, | То тогда - убедит.</s>
твердый взгляд # Если есть твёрдый взгляд, | Лютой воли гранит, | То тогда - различат, | То тогда - убедит.</s>
крепче ладонь # Белой ватой лишь небеса | Отделяют нас от земного. | Позабудем все адреса | И избавимся здесь от былого.</s>
адрес # Белой ватой лишь небеса | Отделяют нас от земного. | Позабудем все адреса | И избавимся здесь от былого.</s>
небо # Белой ватой лишь небеса | Отделяют нас от земного. | Позабудем все адреса | И избавимся здесь от былого.</s>
белая вата # Белой ватой лишь небеса | Отделяют нас от земного. | Позабудем все адреса | И избавимся здесь от былого.</s>
от былого # Белой ватой лишь небеса | Отделяют нас от земного. | Позабудем все адреса | И избавимся здесь от былого.</s>
на ночь # Как бывало, на ночь глядя, | Вдруг возьмёт и позвонит. | Радость сердца - моя Надя, | Мол, как жизнь твоя, пиит?</s>
надя # Как бывало, на ночь глядя, | Вдруг возьмёт и позвонит. | Радость сердца - моя Надя, | Мол, как жизнь твоя, пиит?</s>
сердце # Как бывало, на ночь глядя, | Вдруг возьмёт и позвонит. | Радость сердца - моя Надя, | Мол, как жизнь твоя, пиит?</s>
радость # Как бывало, на ночь глядя, | Вдруг возьмёт и позвонит. | Радость сердца - моя Надя, | Мол, как жизнь твоя, пиит?</s>
в предательстве # Ну, а страх, он пощады не знает. | Часто рядом стоит за спиной. | Он в предательстве нас проверяет, | Чтобы власть одержать над тобой.</s>
пощада # Ну, а страх, он пощады не знает. | Часто рядом стоит за спиной. | Он в предательстве нас проверяет, | Чтобы власть одержать над тобой.</s>
за спиной # Ну, а страх, он пощады не знает. | Часто рядом стоит за спиной. | Он в предательстве нас проверяет, | Чтобы власть одержать над тобой.</s>
власть # Ну, а страх, он пощады не знает. | Часто рядом стоит за спиной. | Он в предательстве нас проверяет, | Чтобы власть одержать над тобой.</s>
страх # Ну, а страх, он пощады не знает. | Часто рядом стоит за спиной. | Он в предательстве нас проверяет, | Чтобы власть одержать над тобой.</s>
каждый лепесток # Как с добрым утром, по аллеям, | До милых окон, в каждый дом. | Где ветви яблони, к затеям, | Прониклись каждым лепестком.</s>
до милых окон # Как с добрым утром, по аллеям, | До милых окон, в каждый дом. | Где ветви яблони, к затеям, | Прониклись каждым лепестком.</s>
с добрым утром # Как с добрым утром, по аллеям, | До милых окон, в каждый дом. | Где ветви яблони, к затеям, | Прониклись каждым лепестком.</s>
в каждый дом # Как с добрым утром, по аллеям, | До милых окон, в каждый дом. | Где ветви яблони, к затеям, | Прониклись каждым лепестком.</s>
по аллеям # Как с добрым утром, по аллеям, | До милых окон, в каждый дом. | Где ветви яблони, к затеям, | Прониклись каждым лепестком.</s>
фальшивая кураж # И за застольем - без повода пьянки - | Поймав в поздравленьях фальшивых кураж , | Клеймил я Европу и подлого Янки , | И прочую - вдрызг! - заграничную блажь!</s>
за застольем # И за застольем - без повода пьянки - | Поймав в поздравленьях фальшивых кураж , | Клеймил я Европу и подлого Янки , | И прочую - вдрызг! - заграничную блажь!</s>
подлый янка # И за застольем - без повода пьянки - | Поймав в поздравленьях фальшивых кураж , | Клеймил я Европу и подлого Янки , | И прочую - вдрызг! - заграничную блажь!</s>
без повода пьянки # И за застольем - без повода пьянки - | Поймав в поздравленьях фальшивых кураж , | Клеймил я Европу и подлого Янки , | И прочую - вдрызг! - заграничную блажь!</s>
в поздравленьях фальшивых кураж # И за застольем - без повода пьянки - | Поймав в поздравленьях фальшивых кураж , | Клеймил я Европу и подлого Янки , | И прочую - вдрызг! - заграничную блажь!</s>
небесная столица # Его ждала небесная столица | Воздушных замков, призрачных теней - | Он оторвался от земли, как птица, | И полетел, всё уменьшаясь, к ней.</s>
воздушный замок # Его ждала небесная столица | Воздушных замков, призрачных теней - | Он оторвался от земли, как птица, | И полетел, всё уменьшаясь, к ней.</s>
от земли # Его ждала небесная столица | Воздушных замков, призрачных теней - | Он оторвался от земли, как птица, | И полетел, всё уменьшаясь, к ней.</s>
призрачная тень # Его ждала небесная столица | Воздушных замков, призрачных теней - | Он оторвался от земли, как птица, | И полетел, всё уменьшаясь, к ней.</s>
птица # Его ждала небесная столица | Воздушных замков, призрачных теней - | Он оторвался от земли, как птица, | И полетел, всё уменьшаясь, к ней.</s>
восторг # Третий восторг - то восторг быть любимым, | Ведать бессменно, что ты не один. | Связаны, скованы словом незримым, | Двое летим мы над страхом глубин.</s>
незримое слово # Третий восторг - то восторг быть любимым, | Ведать бессменно, что ты не один. | Связаны, скованы словом незримым, | Двое летим мы над страхом глубин.</s>
глубина # Третий восторг - то восторг быть любимым, | Ведать бессменно, что ты не один. | Связаны, скованы словом незримым, | Двое летим мы над страхом глубин.</s>
третий восторг # Третий восторг - то восторг быть любимым, | Ведать бессменно, что ты не один. | Связаны, скованы словом незримым, | Двое летим мы над страхом глубин.</s>
мелкая сложность # Природа - лучший ювелир. | Я люблю мелкие сложности. | Весна - это мой кумир, | Время большой возможности.</s>
природа # Природа - лучший ювелир. | Я люблю мелкие сложности. | Весна - это мой кумир, | Время большой возможности.</s>
большая возможность # Природа - лучший ювелир. | Я люблю мелкие сложности. | Весна - это мой кумир, | Время большой возможности.</s>
ювелир # Природа - лучший ювелир. | Я люблю мелкие сложности. | Весна - это мой кумир, | Время большой возможности.</s>
лучший ювелир # Природа - лучший ювелир. | Я люблю мелкие сложности. | Весна - это мой кумир, | Время большой возможности.</s>
постель # Мне бонусы твои нужны, | И речь не о Любви, понятно: | В мои ты не приходишь сны, | Постель с тобою - неприятна!!!</s>
о любви # Мне бонусы твои нужны, | И речь не о Любви, понятно: | В мои ты не приходишь сны, | Постель с тобою - неприятна!!!</s>
бонус # Мне бонусы твои нужны, | И речь не о Любви, понятно: | В мои ты не приходишь сны, | Постель с тобою - неприятна!!!</s>
речь # Мне бонусы твои нужны, | И речь не о Любви, понятно: | В мои ты не приходишь сны, | Постель с тобою - неприятна!!!</s>
сон # Мне бонусы твои нужны, | И речь не о Любви, понятно: | В мои ты не приходишь сны, | Постель с тобою - неприятна!!!</s>
газ # Смотрел в глаза свои слепые, | Потом взгляд ниже опустил… | В окошко – газы выхлопные, | Противные – метил-бутил.</s>
в глаза # Смотрел в глаза свои слепые, | Потом взгляд ниже опустил… | В окошко – газы выхлопные, | Противные – метил-бутил.</s>
в окошко # Смотрел в глаза свои слепые, | Потом взгляд ниже опустил… | В окошко – газы выхлопные, | Противные – метил-бутил.</s>
взгляд # Смотрел в глаза свои слепые, | Потом взгляд ниже опустил… | В окошко – газы выхлопные, | Противные – метил-бутил.</s>
на весах # Смотрел в глаза свои слепые, | Потом взгляд ниже опустил… | В окошко – газы выхлопные, | Противные – метил-бутил.</s>
о плафон # Четвертый день ни грамма дури | Молчит, набычась телефон | Картонный парус ищет бури | Да мухи бьются о плафон</s>
телефон # Четвертый день ни грамма дури | Молчит, набычась телефон | Картонный парус ищет бури | Да мухи бьются о плафон</s>
грамм # Четвертый день ни грамма дури | Молчит, набычась телефон | Картонный парус ищет бури | Да мухи бьются о плафон</s>
четвертый день # Четвертый день ни грамма дури | Молчит, набычась телефон | Картонный парус ищет бури | Да мухи бьются о плафон</s>
картонный парус # Четвертый день ни грамма дури | Молчит, набычась телефон | Картонный парус ищет бури | Да мухи бьются о плафон</s>
бумага # Упрощённый - уплощённый. | С тонкий лист бумаги взгляд. | Ею им и укрощённый - | Это вам не самиздат!..</s>
с кулак # Упрощённый - уплощённый. | С тонкий лист бумаги взгляд. | Ею им и укрощённый - | Это вам не самиздат!..</s>
с тонкий лист бумаги # Упрощённый - уплощённый. | С тонкий лист бумаги взгляд. | Ею им и укрощённый - | Это вам не самиздат!..</s>
самиздат # Упрощённый - уплощённый. | С тонкий лист бумаги взгляд. | Ею им и укрощённый - | Это вам не самиздат!..</s>
архипелаг # Упрощённый - уплощённый. | С тонкий лист бумаги взгляд. | Ею им и укрощённый - | Это вам не самиздат!..</s>
глухо в камень # В сумраке вспыхнул пламень | таинственного костра. | Море бьёт глухо в камень. | Теней и света игра.</s>
игра # В сумраке вспыхнул пламень | таинственного костра. | Море бьёт глухо в камень. | Теней и света игра.</s>
пламень # В сумраке вспыхнул пламень | таинственного костра. | Море бьёт глухо в камень. | Теней и света игра.</s>
в сумраке # В сумраке вспыхнул пламень | таинственного костра. | Море бьёт глухо в камень. | Теней и света игра.</s>
таинственный костер # В сумраке вспыхнул пламень | таинственного костра. | Море бьёт глухо в камень. | Теней и света игра.</s>
до ломоты # И слезы их за радость восприняв, | Мы хлопаем до ломоты в костяшках | Они же боль душевную уняв, | Несут домой улыбки на подтяжках</s>
на подтяжках # И слезы их за радость восприняв, | Мы хлопаем до ломоты в костяшках | Они же боль душевную уняв, | Несут домой улыбки на подтяжках</s>
душевная боль # И слезы их за радость восприняв, | Мы хлопаем до ломоты в костяшках | Они же боль душевную уняв, | Несут домой улыбки на подтяжках</s>
в костяшках # И слезы их за радость восприняв, | Мы хлопаем до ломоты в костяшках | Они же боль душевную уняв, | Несут домой улыбки на подтяжках</s>
за радость # И слезы их за радость восприняв, | Мы хлопаем до ломоты в костяшках | Они же боль душевную уняв, | Несут домой улыбки на подтяжках</s>
промах # Пусть будет промах, неудача, | Пускай насмешек чьих-то хор. | Не в этом суть, твоя задача- | Чтоб не потух души костер.</s>
насмешка # Пусть будет промах, неудача, | Пускай насмешек чьих-то хор. | Не в этом суть, твоя задача- | Чтоб не потух души костер.</s>
потухнуть # Пусть будет промах, неудача, | Пускай насмешек чьих-то хор. | Не в этом суть, твоя задача- | Чтоб не потух души костер.</s>
неудача # Пусть будет промах, неудача, | Пускай насмешек чьих-то хор. | Не в этом суть, твоя задача- | Чтоб не потух души костер.</s>
чья-то хор # Пусть будет промах, неудача, | Пускай насмешек чьих-то хор. | Не в этом суть, твоя задача- | Чтоб не потух души костер.</s>
печалить # Расстояние между нами. | Сокращаю, теряя покой. | И люблю я тебя глазами, | разделяя, печаль с тоской.</s>
глаз # Расстояние между нами. | Сокращаю, теряя покой. | И люблю я тебя глазами, | разделяя, печаль с тоской.</s>
покой # Расстояние между нами. | Сокращаю, теряя покой. | И люблю я тебя глазами, | разделяя, печаль с тоской.</s>
с тоской # Расстояние между нами. | Сокращаю, теряя покой. | И люблю я тебя глазами, | разделяя, печаль с тоской.</s>
расстояние # Расстояние между нами. | Сокращаю, теряя покой. | И люблю я тебя глазами, | разделяя, печаль с тоской.</s>
погосвать # И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.</s>
с черной бересты # И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.</s>
убогий крест # И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.</s>
из коросты # И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.</s>
венок # И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.</s>
усечь # Не усёк, как заблудился. | Стал дорогу взад искать. | С фляжки водочки напился, | Чтоб себя взбодрить опять.</s>
про глухомань # Не усёк, как заблудился. | Стал дорогу взад искать. | С фляжки водочки напился, | Чтоб себя взбодрить опять.</s>
с фляжки водочки # Не усёк, как заблудился. | Стал дорогу взад искать. | С фляжки водочки напился, | Чтоб себя взбодрить опять.</s>
водочка # Не усёк, как заблудился. | Стал дорогу взад искать. | С фляжки водочки напился, | Чтоб себя взбодрить опять.</s>
дорога # Не усёк, как заблудился. | Стал дорогу взад искать. | С фляжки водочки напился, | Чтоб себя взбодрить опять.</s>
звездный час # Но утихнет под снегом река, | И умолкнут литавры ветвей | Вот тогда на призыв Ветерка | Отзовётся лишь хор камышей!</s>
на призыв # Но утихнет под снегом река, | И умолкнут литавры ветвей | Вот тогда на призыв Ветерка | Отзовётся лишь хор камышей!</s>
ветерок # Но утихнет под снегом река, | И умолкнут литавры ветвей | Вот тогда на призыв Ветерка | Отзовётся лишь хор камышей!</s>
литавры # Но утихнет под снегом река, | И умолкнут литавры ветвей | Вот тогда на призыв Ветерка | Отзовётся лишь хор камышей!</s>
под снегом # Но утихнет под снегом река, | И умолкнут литавры ветвей | Вот тогда на призыв Ветерка | Отзовётся лишь хор камышей!</s>
июль # Мой июль окоченел, | ливни и потоки, | отсырел, а не сгорел, | выжала все соки.</s>
сок # Мой июль окоченел, | ливни и потоки, | отсырел, а не сгорел, | выжала все соки.</s>
ливень # Мой июль окоченел, | ливни и потоки, | отсырел, а не сгорел, | выжала все соки.</s>
бессмысленно год # Мой июль окоченел, | ливни и потоки, | отсырел, а не сгорел, | выжала все соки.</s>
поток # Мой июль окоченел, | ливни и потоки, | отсырел, а не сгорел, | выжала все соки.</s>
хмуро # Седое небо хмуро содрогнётся, | Загромыхает осенью гроза, | А солнце из - за тучи улыбнётся | В мои навек закрытые глаза.</s>
в навек # Седое небо хмуро содрогнётся, | Загромыхает осенью гроза, | А солнце из - за тучи улыбнётся | В мои навек закрытые глаза.</s>
осень # Седое небо хмуро содрогнётся, | Загромыхает осенью гроза, | А солнце из - за тучи улыбнётся | В мои навек закрытые глаза.</s>
седое небо # Седое небо хмуро содрогнётся, | Загромыхает осенью гроза, | А солнце из - за тучи улыбнётся | В мои навек закрытые глаза.</s>
в мои навек # Седое небо хмуро содрогнётся, | Загромыхает осенью гроза, | А солнце из - за тучи улыбнётся | В мои навек закрытые глаза.</s>
право # Как были молоды тогда… | Как всё могли, всего хотели… | Но это, право, ерунда! | Ведь годы все же улетели.</s>
рождение # Как были молоды тогда… | Как всё могли, всего хотели… | Но это, право, ерунда! | Ведь годы все же улетели.</s>
год # Как были молоды тогда… | Как всё могли, всего хотели… | Но это, право, ерунда! | Ведь годы все же улетели.</s>
с днем рождения # Как были молоды тогда… | Как всё могли, всего хотели… | Но это, право, ерунда! | Ведь годы все же улетели.</s>
ерунда # Как были молоды тогда… | Как всё могли, всего хотели… | Но это, право, ерунда! | Ведь годы все же улетели.</s>
язык # Говорить мы будем до рассвета, | Наш язык - из песен и стихов | Пробуждает будущее лето | Посреди январских холодов.</s>
из песен # Говорить мы будем до рассвета, | Наш язык - из песен и стихов | Пробуждает будущее лето | Посреди январских холодов.</s>
будущее лето # Говорить мы будем до рассвета, | Наш язык - из песен и стихов | Пробуждает будущее лето | Посреди январских холодов.</s>
до рассвета # Говорить мы будем до рассвета, | Наш язык - из песен и стихов | Пробуждает будущее лето | Посреди январских холодов.</s>
посреди январских холодов # Говорить мы будем до рассвета, | Наш язык - из песен и стихов | Пробуждает будущее лето | Посреди январских холодов.</s>
с дождем # Ритмично деревья качаясь, | Устилают землю листом. | Над ними тучка расползаясь, | Сеет градины с дождем.</s>
градина # Ритмично деревья качаясь, | Устилают землю листом. | Над ними тучка расползаясь, | Сеет градины с дождем.</s>
тучка # Ритмично деревья качаясь, | Устилают землю листом. | Над ними тучка расползаясь, | Сеет градины с дождем.</s>
дерево # Ритмично деревья качаясь, | Устилают землю листом. | Над ними тучка расползаясь, | Сеет градины с дождем.</s>
земля # Ритмично деревья качаясь, | Устилают землю листом. | Над ними тучка расползаясь, | Сеет градины с дождем.</s>
интеллект # Сила есть–ума не надо, | Лишним будет интеллект. | Кто силён, тому награда, | Топ-модель и гирь комплект.</s>
молоко # Весной так пишутся стихи, | Как будто дышутся – легко. | Как отпускаются грехи, | Как убегает молоко.</s>
весна # Весной так пишутся стихи, | Как будто дышутся – легко. | Как отпускаются грехи, | Как убегает молоко.</s>
стихи # Весной так пишутся стихи, | Как будто дышутся – легко. | Как отпускаются грехи, | Как убегает молоко.</s>
грех # Весной так пишутся стихи, | Как будто дышутся – легко. | Как отпускаются грехи, | Как убегает молоко.</s>
ниточкой янтарный # Но с улыбкой лучезарной | Солнце после десяти | Стало ниточкой янтарной | По снегам узор плести.</s>
мартовский намек # Но с улыбкой лучезарной | Солнце после десяти | Стало ниточкой янтарной | По снегам узор плести.</s>
с улыбкой лучезарной # Но с улыбкой лучезарной | Солнце после десяти | Стало ниточкой янтарной | По снегам узор плести.</s>
солнце после # Но с улыбкой лучезарной | Солнце после десяти | Стало ниточкой янтарной | По снегам узор плести.</s>
по снегам узор # Но с улыбкой лучезарной | Солнце после десяти | Стало ниточкой янтарной | По снегам узор плести.</s>
по дороге жгучей # Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей</s>
за тяжёлой тучей # Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей</s>
солнце # Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей</s>
впотьмах # Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей</s>
ленинград # Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей</s>
перекос # Кто только не строчил доносов, | Чтоб не свести с соседом счет. | Да, много было перекосов, | Но виноват и сам народ.</s>
с соседом # Кто только не строчил доносов, | Чтоб не свести с соседом счет. | Да, много было перекосов, | Но виноват и сам народ.</s>
донос # Кто только не строчил доносов, | Чтоб не свести с соседом счет. | Да, много было перекосов, | Но виноват и сам народ.</s>
красная луна # Кто только не строчил доносов, | Чтоб не свести с соседом счет. | Да, много было перекосов, | Но виноват и сам народ.</s>
сам народ # Кто только не строчил доносов, | Чтоб не свести с соседом счет. | Да, много было перекосов, | Но виноват и сам народ.</s>
путь # Я не пойду твоим Путём. | Надежда Путь осветит мой. | Долги Земли вполне вернём. | Путь в Небеса – как Путь домой.</s>
путь домой # Я не пойду твоим Путём. | Надежда Путь осветит мой. | Долги Земли вполне вернём. | Путь в Небеса – как Путь домой.</s>
долг # Я не пойду твоим Путём. | Надежда Путь осветит мой. | Долги Земли вполне вернём. | Путь в Небеса – как Путь домой.</s>
в небеса # Я не пойду твоим Путём. | Надежда Путь осветит мой. | Долги Земли вполне вернём. | Путь в Небеса – как Путь домой.</s>
надежда # Я не пойду твоим Путём. | Надежда Путь осветит мой. | Долги Земли вполне вернём. | Путь в Небеса – как Путь домой.</s>
стенанивать # Не дай простора супостату, | Закрой нас – милость сотвори. | И нашу за грехи расплату | Стенаньем сердца предвари.</s>
святитель # Не дай простора супостату, | Закрой нас – милость сотвори. | И нашу за грехи расплату | Стенаньем сердца предвари.</s>
расплата # Не дай простора супостату, | Закрой нас – милость сотвори. | И нашу за грехи расплату | Стенаньем сердца предвари.</s>
за грехи расплату # Не дай простора супостату, | Закрой нас – милость сотвори. | И нашу за грехи расплату | Стенаньем сердца предвари.</s>
супостат # Не дай простора супостату, | Закрой нас – милость сотвори. | И нашу за грехи расплату | Стенаньем сердца предвари.</s>
возбудитель # Совесть Бога - возбудитель – | Букв круговорот, | Созидатель их, родитель - | Музыка, фокстрот.</s>
фокстрот # Совесть Бога - возбудитель – | Букв круговорот, | Созидатель их, родитель - | Музыка, фокстрот.</s>
созидатель # Совесть Бога - возбудитель – | Букв круговорот, | Созидатель их, родитель - | Музыка, фокстрот.</s>
букв круговорот # Совесть Бога - возбудитель – | Букв круговорот, | Созидатель их, родитель - | Музыка, фокстрот.</s>
квантовое поле # Совесть Бога - возбудитель – | Букв круговорот, | Созидатель их, родитель - | Музыка, фокстрот.</s>
рукою властный # Тебя подобно в мастерской | Художник бережно лепил, | Рукою властною мужской | Он женщину в тебе будил.</s>
женщина # Тебя подобно в мастерской | Художник бережно лепил, | Рукою властною мужской | Он женщину в тебе будил.</s>
лиза # Тебя подобно в мастерской | Художник бережно лепил, | Рукою властною мужской | Он женщину в тебе будил.</s>
художник # Тебя подобно в мастерской | Художник бережно лепил, | Рукою властною мужской | Он женщину в тебе будил.</s>
подобно в мастерской # Тебя подобно в мастерской | Художник бережно лепил, | Рукою властною мужской | Он женщину в тебе будил.</s>
весна # Сгущается звук за окном. | Пчела всё жужжит, озоруя. | Весна защищает наш дом, | К былому ничуть не ревнуя.</s>
к былому # Сгущается звук за окном. | Пчела всё жужжит, озоруя. | Весна защищает наш дом, | К былому ничуть не ревнуя.</s>
звук # Сгущается звук за окном. | Пчела всё жужжит, озоруя. | Весна защищает наш дом, | К былому ничуть не ревнуя.</s>
за окном # Сгущается звук за окном. | Пчела всё жужжит, озоруя. | Весна защищает наш дом, | К былому ничуть не ревнуя.</s>
дом # Сгущается звук за окном. | Пчела всё жужжит, озоруя. | Весна защищает наш дом, | К былому ничуть не ревнуя.</s>
ранняя заря # К вечеру стареет | ранняя заря | и уже не греет, | и, конечно, зря…</s>
к вечеру # К вечеру стареет | ранняя заря | и уже не греет, | и, конечно, зря…</s>
до слёз # Корзины дивных алых роз | ты преподнёс бы мне, конечно, | но как обидно мне, до слёз, - | и на одну нет денег вечно.</s>
деньги вечно # Корзины дивных алых роз | ты преподнёс бы мне, конечно, | но как обидно мне, до слёз, - | и на одну нет денег вечно.</s>
корзина # Корзины дивных алых роз | ты преподнёс бы мне, конечно, | но как обидно мне, до слёз, - | и на одну нет денег вечно.</s>
дивная алая роза # Корзины дивных алых роз | ты преподнёс бы мне, конечно, | но как обидно мне, до слёз, - | и на одну нет денег вечно.</s>
счастье # На зло не стану отвечать, | Оно само назад вернётся, | Я солнышко пойду встречать, | Оно мне счастьем улыбнётся.</s>
на зло # На зло не стану отвечать, | Оно само назад вернётся, | Я солнышко пойду встречать, | Оно мне счастьем улыбнётся.</s>
в лицо # С быком не может сладить | Никто из оседлавших! | Успел в лицо нагадить | Кому-то из упавших!</s>
про родео # С быком не может сладить | Никто из оседлавших! | Успел в лицо нагадить | Кому-то из упавших!</s>
с быком # С быком не может сладить | Никто из оседлавших! | Успел в лицо нагадить | Кому-то из упавших!</s>
народ # В пожаре Рим сгорел, | Бездомным стал народ… | Со сцены песни пел | Народу царь – урод.</s>
песня # В пожаре Рим сгорел, | Бездомным стал народ… | Со сцены песни пел | Народу царь – урод.</s>
царь # В пожаре Рим сгорел, | Бездомным стал народ… | Со сцены песни пел | Народу царь – урод.</s>
в пожаре # В пожаре Рим сгорел, | Бездомным стал народ… | Со сцены песни пел | Народу царь – урод.</s>
со сцены песни # В пожаре Рим сгорел, | Бездомным стал народ… | Со сцены песни пел | Народу царь – урод.</s>
нетопыри # Прекрасна ты, и так нежна. | что выпить надо снова. | Любовь твоя мне так нужна, | как пастве Божье слово.</s>
любовь # Прекрасна ты, и так нежна. | что выпить надо снова. | Любовь твоя мне так нужна, | как пастве Божье слово.</s>
божий # Прекрасна ты, и так нежна. | что выпить надо снова. | Любовь твоя мне так нужна, | как пастве Божье слово.</s>
паства # Прекрасна ты, и так нежна. | что выпить надо снова. | Любовь твоя мне так нужна, | как пастве Божье слово.</s>
судьба # Нет, не сломалась и не упала, | Шагала вперёд, доверяясь судьбе. | Деток растила и поднимала, | Порою забыв совсем о себе.</s>
пора # Нет, не сломалась и не упала, | Шагала вперёд, доверяясь судьбе. | Деток растила и поднимала, | Порою забыв совсем о себе.</s>
детка # Нет, не сломалась и не упала, | Шагала вперёд, доверяясь судьбе. | Деток растила и поднимала, | Порою забыв совсем о себе.</s>
посреди тишины # Вновь звучит саксофон | Посреди тишины, | И сердца в унисон, | Мы друг другу нужны.</s>
в унисон # Вновь звучит саксофон | Посреди тишины, | И сердца в унисон, | Мы друг другу нужны.</s>
сердце # Вновь звучит саксофон | Посреди тишины, | И сердца в унисон, | Мы друг другу нужны.</s>
любовь # Вновь звучит саксофон | Посреди тишины, | И сердца в унисон, | Мы друг другу нужны.</s>
песня # Вновь звучит саксофон | Посреди тишины, | И сердца в унисон, | Мы друг другу нужны.</s>
здравиц # Не жалели Вы сил | Для культуры родной. | Лавры вид был Вам мил | Верой и красотой.</s>
красота # Не жалели Вы сил | Для культуры родной. | Лавры вид был Вам мил | Верой и красотой.</s>
для культуры # Не жалели Вы сил | Для культуры родной. | Лавры вид был Вам мил | Верой и красотой.</s>
лавра # Не жалели Вы сил | Для культуры родной. | Лавры вид был Вам мил | Верой и красотой.</s>
вице-президент # Не жалели Вы сил | Для культуры родной. | Лавры вид был Вам мил | Верой и красотой.</s>
у елей # У оврага поселился | Злой разбойник: - Змей-кусак, | И у елей примостился | Бесшабашный чёрный мрак</s>
бесшабашный черный мрак # У оврага поселился | Злой разбойник: - Змей-кусак, | И у елей примостился | Бесшабашный чёрный мрак</s>
у оврага # У оврага поселился | Злой разбойник: - Змей-кусак, | И у елей примостился | Бесшабашный чёрный мрак</s>
травушка # Туман опять на землю пал росою, | и травушку укрыла седина. | Мы почему поссорились с тобою- | ответить можешь только ты одна.</s>
седина # Туман опять на землю пал росою, | и травушку укрыла седина. | Мы почему поссорились с тобою- | ответить можешь только ты одна.</s>
роса # Туман опять на землю пал росою, | и травушку укрыла седина. | Мы почему поссорились с тобою- | ответить можешь только ты одна.</s>
туман # Туман опять на землю пал росою, | и травушку укрыла седина. | Мы почему поссорились с тобою- | ответить можешь только ты одна.</s>
опять на землю # Туман опять на землю пал росою, | и травушку укрыла седина. | Мы почему поссорились с тобою- | ответить можешь только ты одна.</s>
