Пылай, полыхай, греши, | захлебывайся собой. | Как менада пляши | с закушенной губой.
Он захлестывает, как волна, | Заставляя забыть о земном | И неведома мне глубина- | Отпустить, не идти напролом.
Миллионы мрачных лет | Я в тяжёлом сне почил, | Но очей манящих свет | Как лучом меня пронзил.
Эдак источая политесы , | Только - то и нужен был Цветок . | До самой ли мушкам поэтессы ? | Лишь до ароматных её строк !
Мрачным кажутся мне | Лес, трава и горы. | Будто в трепетном сне | Дивные просторы.
Он возвышался в свете лунном | На фоне старого моста | И чем-то звонко бил по струнам | Немного ниже живота.
Ты ушёл от ласки моей. | С которой ничто не сравнится. | Ты ушёл от наших ночей, | Всё это тебе будет сниться.
Что было, то было, | Быльём поросло. | И как-то уныло, | Печально ушло.
Город мой дорогой | Ты небес красота! | Вечный свет над тобой | Иисуса Христа!
И каждый шорох за окном, | И каждый скрип в пустой квартире | Напоминал ей о былом, | И отзывался строчкой в лире.
Но когда надумают смеяться | Силы тьмы жестоко над тобой, | Вот когда придёт пора смиряться, | Лишь с самим собой вступая в бой.
А я вторые сутки на работе | Упрямый снег гребу до тошноты. | А он в своём безудержном полёте | Осуществляет детские мечты.
От хлопот избавит ль время? | Новые придут в замен. | Рок несёт с собою бремя | Состоя из перемен.
В жизни много всего видал: | И горе, и счастье, и так. | Но я сердцем всегда искал… | Только что – не понять никак.
Её душа младая | Наивности полна. | Своей судьбой играя, | Доверилась она.
не сдрейфил птенец и звонок пропустил | зажег от обломков платок | забравшись на угли от сожженных сил | надел на крещенный флагшток
Помойка, база - городская свалка, - | Маршрут известный; ноги приведут. | Ну, что, ты, смотришь пристально и жалко? | Глаза прохожих часом тоже лгут.
Жить вместе лишь ради детей - | Как часто слышим мы фразу! | Но смысл этих вещей, | Увы, понимаем не сразу ...
Буд-то летом настала зима, | сразу замерло всё и остыло, | так возможно хотела сама, | но забыла, забыла, забыла…
Остынет , руки быстро мой | Бабуля , подожди немного | И так увлёкся , я игрой | Что не хотел , ничуть другого
Я Бога жаждал - и не знал; | Еще не верил, но любя, | Пока рассудком отрицал, - | Я сердцем чувствовал Тебя.
Родник живительный играет, | Янтарным взглядом жизнь блестит, | Так изумрудным цветом тает, | И счастье вечное творит.
Я взглянув на вымокшую землю, | Радуюсь, что сэкономлю воду. | Дождь с поливом я душой приемлю, | Воспевая милую природу.
Все сгорает, нетленного нет, | Пепел падает тихо, легко. | Горький привкус, неясный след, | А тепло далеко-далеко.
А плюс с минусом сложились, | Стали общей суммою, | Как же мы соединились? | Фильм смотрю и думаю.
Нет отвратнее момента. | Вот изложишь пару фраз, | А в ответ тебе ни цента, | Нем, напротив томный глас.
Юбилей - это праздник ни дня, | А периода, целого года. | Если рядом не будет меня, | Обо мне все расскажет погода.
Я не нужен ей, ребята, | Не нужны стихи. | Это всё наверно плата | За мои грехи.
И вот на берегу реки | Стоим счастливые мы рядом | И ледяные островки | Вдаль провожаем долгим взглядом.
Зарастает деревня репьями, | Появился сорняк борщевик, | Не удержишь его за плетнями, | Для борьбы нужен русский мужик.
В солнечной Танзании, | Где живут слоны, | Снилися Кафрании | Сказочные сны.
Траву протершая, бежит, | Петляя, тропка, | Сюда, где бешено дрожит | Во мраке топка.
Осилишь многие напасти, | Что в роковой сокрыты мгле, | Но вот нелюдоедской власти - | Нигде не встретишь на Земле!
Хочешь, в дальние синие страны, | В пенье вьюги, в тропический зной | Поведут нас с тобой капитаны, | На штурвал налегая резной?
И окна распахнулись | Приветливо, радушно. | Как будто бы проснулись | Уже не равнодушно
Мне не снятся больше очи черные, | Только силикон раздутых губ, | Не сойдутся вместе пики горные, | И наверное, я совсем не люб.
Дождь по лужам стучит, | Грусть уселась на плечи, | Ветер буйный шумит, | Отменяет все встречи.
Ночь гуляют до рассвета, | Детвора и весь народ. | Чтоб запомнить это лето | Вспоминая целый год.
И кровь по жилам словно не прогнать, | И воздухом так тяжело напиться, | Ведь сколько б аромат мне не вдыхать, | А вдоволь всё равно не насладиться.
Счастливые часов не наблюдают – | Добра и зла колеблются весы. | Не ясно, чем же люди обладают, | Когда всё время смотрят на часы?
Хоть не простые времена | Хоть тяжело, как никогда. | Друзей я помню Имена, | и Рад как прежде им Всегда!
Трудно небо сколотить | Великанам. | Сложно время мастерить | Великанам.
Я страдал, мучился и ждал, | Что увидите мою любовь | И положительный финал - | Нам двоим, смешает кровь.
Вплоть до дерзости нежны | Все твои мотивы | Как художнику важны | Мне все перспективы
Факелами вспыхнут | Пламенные строки, | И пускай не дрыхнут | Жизни биотоки
Но та стоит на месте. | Не сдвинулась ничуть. | Вопят балбесы вместе. | Давай ещё чуть-чуть!
И за бретёрство дань жестока: | За череду людских смертей | Заплатят, умерев до срока, | Твои одиннадцать детей.
Мыкаться -быть Желанной, | Мыкаться -быть Гонимой, | Званной ли, иль не званной, | Проклятой иль Любимой!
Несвобода в наших соках, | Несвобода наша суть, | В многочисленных уроках | Под названием просто путь.
Красивой лучше не рождаться. | Пойду в стриптиз чтоб богатеть! | С другого жить начну абзаца – | Меня за деньги будут зреть!
Січневій стужі пора наснаги, | Дощам на зміну прийдуть сніги. | Ждуть не діждуться людські ватаги | Веселих гульок хвищі-юги.
Он у метро заработал гроши, | Но, не это его смутило, | А то, что люди не ценят души, | Всё то, что её породило.
Вот тонкие ветки | без листьев совсем. | И шахмат те клетки | полны ведь дилемм
А я топчусь, топчусь, топчусь, | Заболели пятки! | Вот с делами разберусь, | И к морю, без оглядки!
Одна лишь движущая сила | Всё остальное пустота, | Когда лишь сердце полюбило | Чувств возникает красота!
Знакомы мы уже давно, | Но слишком долго были в ссоре. | Ты пригласил меня в кино, | Обиды все забылись вскоре.
Поверит ли грядущий век стихам, | Которые наполнены тобою? | Хотя они – всего лишь жалкий хлам | Перед твоей небесной красотою.
А в чистой синеве небес лазурных, | Плывут армады белых облаков. | И на крылах ветров летят гламурных, | В седую даль загадочных веков.
Луна ласкала ладно , | Цветы лучом касаясь . | Строфа связалась складно , | С мечтой соприкасаясь .
Вновь, выпорхнув, как птица | Из зелени густой, | Попробуйте влюбиться | И потерять покой.
В пустыне и даже в тайге | Бывали мы, честное слово, | Видали Куинджи и Ге, | Тропинина и Иванова …
Меж звёздным небом и чёрной землёй | Мечутся мысли толпой. | Крылья шуршат тихо над простынёй, | Смятой в гармошку тобой.
Уж не всё, конечно, съели | Мы за праздничным столом. | И коты вот захотели… | Потянулись в тихий дом.
…Я просыпался сном укрытый, | Не понимая, что со мной… | Рассвет вбегал снегом умытый, | Прощаясь с зимнею луной…
Ты - в школьной форме королева, | Пленила шармом мой каприз. | И всё же, я ушёл налево, | В твоих глазах спускаясь вниз.
Опять флиртуем с правдой чуть, | Запятнав сердца изменой. | Пока балует жизни суть, | Идёт дорогой откровенной.
Был полк – бросились врассыпную, | Бежали, как зайцы, назад: | - Не видели битву такую | Страдает когда очень зад.
Похвала или хула | Блекнет и теряется, | Коль из каждого угла | Детям повторяется.
Днём и ночью неустанно | В чане зелье он варил. | Кто видал того шамана, | Детям сказки говорил
Дороги севера суровы, | Зимой у них свои законы. | Везде там снежные покровы, | Безлюдные пустые зоны.
Белтайн возжигает костры, | А завтра – воскреснет Христос, | Циклы природы мудры, | Воспринимайте всерьёз.
Там где солнце в облаках | За тяжёлой тучей, | Хоть и трудно шли впотьмах | По дороге жгучей
Я думаю, что так и будет, | Ты постучишься в мою дверь. | И скажешь: кто ж меня разбудет, | И защитит от всех потерь.
Земля телесно разрываясь, | Туманом дней, вбирала кровь. | Чтобы сегодня содрогаясь, | Всех поимённо вспомнить вновь.
Ожидание - хуже нету кары, | Ожидание - это та же пытка. | Чем минутам отмерять удары, | Лучше неудачная попытка.
В магазин сходить он взялся, | Всё по списку накупил… | Он с тележкой – Накачался! | Прямо выбился из сил…
Первая моя любовь | Сердцем обманулась, | Вспоминаю вновь и вновь, | Как мне улыбнулась!
«Ты человека смел сожрать? | Не понял я, что это было… | Что, ваша братия, видать, | Законы наши позабыла?
Жасмин в воде не вянет | Меня же к тебе тянет | Жизнь без любви обманет | Когда мой лотос взглянет
Зима решила вновь вернуться. | Насыпать снегом на поля. | Как будто в сказке вновь проснуться. | Белы деревья и земля.
А в новом суть дней не видна, | Куда меня она зовёт? | И что сулит, какой она | Мне будет и какой придёт?
Вот и свадьба прошла, молодою женой | В дом вошла- горожанка, модистка, | Быт семьи приняла- деревенский , простой, | Ты смеялся - жена- декабристка!
История в принципе простая, | Не хотелось его обидеть. | Лишь о сцене большой мечтая, | Он не желал другого видеть.
Безбожно депутаты лгали | Народу обещая счастье! | Им СМИ лукаво помогали, - | Правительства сильно участье!
Солнце и море, теплый песок | Снится порою ночами, | Есть на земле такой уголок, | Потчует память мечтами.
Жизнь искушений дарит нам немало. | Как ни рвалась, ни пела бы душа, | Я обрывала тонкие начала, | В крови огонь бушующий глуша.
И чёрные, белые клетки | Мелькают быстрее в глазах. | Растут королевские детки, | Гарцуя на светских балах.
Хоть верьте, братцы, а хоть нет - | В пучине я не пал циничной. | Ведь подобрал меня корвет | Какой-то службы заграничной.
И снова полный одиночества, | Качаюсь в колыбели сна. | И снова древнее пророчество | Мне пишут звёзды и луна.
И звёзды трогались рукой, | Красотки - не найти прекрасней, | И море ластилось волной, | Лилось всё, что огнеопасней!
Время отступает. | Вечность бережёт. | Мастер так играет, | Что весь зал встаёт.
Я дарю тебе сердечко, | Забирай его, не жаль, | Но колючее словечко | Резануло, точно сталь.
Жизнь стремительно несётся, | Словно птица в небесах. | То от горя сердце рвётся, | То от радости в слезах.
А на станции «Зрелость» – народ: | здесь друзья, и семья, и внуки. | Поезд мой уж который год | здесь стоит, но не знает скуки.
Камыш стоит сплошной стеной, | Пугают заросли густые, | Тростинки трутся меж собой, | Казалось, шепчут как живые.
И вечно биться с Пустотою; | И вечно падать нам на дно; | И вечно гнаться за мечтою… | Ведь вместе быть – не суждено.
Ты можешь не верить приметам. | Ты можешь не верить в судьбу. | Но знаки быть могут советом | Сменить вектора и борьбу.
Есть у робота работа – | Человеку помогать. | Безотказней идиота | Робот, надо полагать.
Ах какое это счастье | Жить и быть самим собой | Творчеством давить ненастье | Жить в гармонии с судьбой
Не обязательно кричать, | Чтоб не порвать свои одежды. | Можно бороться и молчать, | И оценить свои надежды.
Россия сильная держава, | Моя великая страна. | Веками приходила слава, | В любой войне всегда сильна.
Но есть выбор: гореть или сдаться, | Стать огнём или просто уснуть, | Улететь, убежать иль остаться. | В этом смысл, предрешение, суть.
Одеты белые рубашки | И платья белые одеты — | Цвет молока и цвет ромашки — | Планеты чистые приметы!
И подошла опять к кровати, | Сказала ласково: Сынок, | Какой сегодня месяц, кстати? | Да и какой сейчас годок
А раньше мне была женою: | Мила, заботлива, верна - | Та женщина, что не со мною, | Не очень мне была нужна.
А ночь, которая одна. | Она другою стала. | И голубая тишина, | Дрожала и дрожала.
А он и рад большим казаться, | Гордясь своим пустым нутром. | Как люди любят обольщаться | Надутым мыльным пузырём.
Незримою стрелой | Леность стреляет. | Сонливою волной | Христиан сражает.
Эпоха резолюций | Высвечивает страх. | Из разных революций | Выглядывает прах.
Но зачем-то же, - нужны? | Да что-бы не дремал карась! | Где щука в поисках войны, | С блесны в уху и сорвалась.
и поисков куша и кресла, прописок, | бесполых мужчинок и приторных жён, | трудяг или снобов, банальных актрисок, | сонливых иль лезущих в лоб, на рожон
Прелестное созданье! | Папино творенье! | Мамино желанье! | Всем на удивленье!
Дует слабенький бриз, | Ветра в парус не жди, | У природы каприз - | Непрестанно дожди.
Темноты история | Движется к концу. | Хороша теория. | Правда всем к лицу.
Плюс, повышаю настроение, | А в радости приятней жить, | Всё чаще слышу птичье пение, | И вижу жизненную нить.
Сегодня памятник стоит как прежде. | Пора забвения у людей прошла. | Солдат, как будто в новенькой одежде, | Стоит на страже своего села!
А у колес шипована резина, | Не страшен им суровый гололед. | Не нужно заливать совсем бензина, | Машину Витя мыслями ведет.
Но, не прожить без позитива, | Мой на природу путь лежит, - | Она спокойна и красива, - | С ней оживет весной пиит!
Говорили черти меж собой – | Их услышал кто-то из людей – | Понеслись недоброю молвой | Сплетни, пересуды тех чертей.
…И, вку́с познав страданий, | проснётся тотчас он – | и сгинет без стенаний | вчерашний пустозвон…
Которые в меру смеются | и курят совсем не в затяг, | которые нам улыбнутся, | глазком подморгнут просто так!
Мечты о будущем сакральны. | В них хочется поверить слепо. | Они, решив, что уникальны | На мир набросились свирепо.
Размалеванные крали | Дали жару каблукам. | Парни девок поддержали, | Волю даруя ногам.
Все это, конечно, ерунда. | Забудьте, то, что вы читали. | Все это бредни и вода, | Мы о другом кино мечтали.
Метель похитила мой сон, | Я слышу как бушует вьюга, | Мы с нею дышим в унисон, | Теперь метель моя подруга.
Загуляли девки, загуляли. | Не до шуток, точно, мне поверь. | Сколько лет мечтанием играли | и решились - выломали дверь!
Боль утихнет, дыши, улыбайся | Наполняя Жизнь Светом своим | Лучших чувств Свет храни, оставайся | В каждый миг жизни в Свете и с ним.
Просто ждать тебя снова, | Ждать, когда ты придешь. | Слушать тихое слово, | Сжимать кулак через дрожь.
Других не обижай | Достойным всегда будь. | Грехи не попускай | И Бога не забудь.
Распрощался холодный февраль, | А весна набирает азарт. | Открывая подснежникам даль, | Наступает берёзовый март.
Он всё тебе нахально врёт! | На льва как будто кинулся! | Его тот лапой зашибёт! | Умом, наверно, сдвинулся!
Восторгом сердце обожжёт | от ощущения полёта, | кто не летал, тот не поймёт | мысль сокровенную пилота.
Ты знаешь, я права была, | Когда мы шли вдвоём с тобою | Среди июньского тепла | Ханты-Мансийскою тропою.
Водка, виски – это зло! | Вино от зла – лечение. | Не делай бабушке назло | Ушей обморожение.
Окрепли мы или ослабли - | добро всё это или зло?.. | С дороги убирайте грабли, | пока башку не разнесло!
И ещё страшит собака, | Хоть и жалобно скулит. | Правда, вроде бы не бяка, | Но уж больно грозный вид.
Одиночество глушит мембраны, | Закрываются тихо глаза. | На душе не зажившие раны, | На руке высахает слеза.
Пределы прочности тестируют отлично | На улице, в гостях и за столом; | Объединяясь вместе или лично | Вчера, сегодня, завтра и потом.
Меня ни прогнуть, ни сломать! | Мне истина – воздух и хлеб! | Меня не заставите врать – | Чтоб больше никто не ослеп.
Чтоб возникло вдохновение, | нужно малость, пустячок. | Лишь рассвета впечатление, | солнце высунет бочок.
Небо голубое, | Над моей землёй, | Тёплое, родное, | С искоркой живой.
В эти годы и тёмные ночи, | В тишине только скрип от резца, | Вас любил, будто спящие очи | Дорогого на веки лица.
Вот жизнь бежит за годом год, | Торопятся людишки быть: | С баблом, недвижкой, не жизнь - мёд, | От одиночества б не ныть.
Словно белый на белом раскинуть | Звездный хор всевозможных зарниц, | В невозможное невод закинуть | Рыбаками реснистых глазниц.
Бараньи блохи, оскорбившись, | Вприпрыжку покидали зал, | Я ж глянул ввысь, перекрестившись, | - Не приведи, Господь! – сказал.
Я ко всему готов; | Нервы мои, как сталь. | Глажу своих котов | И улетаю вдаль.
Молись о нас родная, | Прожить, чтоб без забот. | С тобой достигнуть рая, | Познать бы всех красот.
И как бы ВЫ себе ни мнили, | Что ВЫ свободны, как Христос, | Проплыть дадут не больше мили | И зададут простой вопрос
Филигранно по жизни идти, | И ступать тихо, чтоб не споткнуться, | Не получится, как не крути, | Жизнь прожить, чтобы не обернуться.
Привет, привет, моя старушка! | Давно не виделись с тобой, | Минувших дней моих игрушка. | Давай же - сердце успокой!
Нету, больше, наслажденья | Человеку, ясен пень! | Лучший праздник – день рожденья, | Самый-самый лучший день!
…Других в пучине погребя, | ты вопрошаешь в сотый раз: | - Перешагнув через себя, | я спас себя или не спас?
Светом серебряным нас согревая, | Даришь надежду любви, | В памяти светлой, всегда молодая, | Радостной, доброй живи.
Главное нужно иметь направление, | И несомненно Любовь и Мечту! | Творчества будет тогда проявление, | И уподобится Личность – Христу!
А жизнь идет, свои законы | Лишь только ей подчинены, | И сладко манят вздохи, стоны, | И мы кому-то не верны.
Нелюбовью затаился мир | тенью всевозможных прегрешений | Страстью мятый, призрачный эфир | мает неизбежность искажений.
И, да, в ней явная ошибка, | Хоть в русском я и не сильна. | В последний путь, твоя улыбка | Здесь больше, точно, не нужна!
Мысль от горя захлебнулась | в этом сером веществе. | Но ни что не шелохнулось | в глупой, рабской голове.
Станешь Демоном ты, | Станет поздно скрываться, | Под крылом пустоты, | Можно долго срываться
Жизнь потихоньку возвращалась | В село, разбитое войной. | Село латалось, разгребалось, | Меняя внешний облик свой.
А она говорят что пришла уже, | И у наших стоит у ворот. | Стоит на граничной меже, | Её радостно встретит народ.
Симпатии не есть путь к пониманью. | Достаточно лишь взгляда или слова. | А дальше всё идёт по умолчанью, | Поскольку, впечатление основа.
Только тех, кем послан ты | Тоже нет уже на свете - | К ним пришли из темноты, | Отдавая дань вендетте.
Дальше, больше, Булгаковский дом и Пруды, | Там Котяра с Фаготом чудили. | Черный Кот Бегемот и мистерий труды, | Тень Мессира в квартиру вселили.
Приходит Райский уголок, | Во сне тихонечко из детства. | Хоть я в душе не одинок, | Скажу без лишнего кокетства.
Таинство верности - | Вне обвинения. | Счастье безмерности - | Путь просветления.
Как «американские | Горки» вверх и вниз: | Страсти не цыганские – | Жизненный каприз.
С трудом мне верится, что ты | Быть можешь рядом, | На нас двоих делить мечты, | Греть тёплым взглядом.
Вот юбилей, уже два года, | Как я на сайте пребывал. | В душе хорошая погода, | Налью за то себе бокал.
Сердце встало не на место | Вьюга вьётся за окном, | Темнота густей чем тесто, | Хоть черпай её ковшом.
Птаха и зверь попадают в масть, | Лев, землеройка и кречет, | А человек, чтобы в масть попасть, | Краплёные карты мечет.
В жизни круговерти | Мимо всё стремглав летит… | Не везёт нам в смерти - | Знать в любви нам подфартит!
Пропала жизни красота, | вся прелесть мира угасает. | В судьбе зияет пустота | мечта о благодати тает.
По команде сходной с фас, | А по сути для рабочих, | Для людей, собак и нас, | Жрать значительно охочих
Они опять спустились к морю. | Две тени под руку с луной | Навстречу звёздному простору | Брели куда-то за волной.
Это очень большой спектакль! | По правилам мировой Тьмы! | Над этим миром – Пентакль! | Политической кутерьмы!
А на вершине весь простор | откроет нам объятье. | Я ощущаю до сих пор | с небес рукопожатье!
И снова уйти по простору. | И снова назад не придти. | А снег опускался на штору. | А снег возле штор не найти.
Ведь в аду, поди не будет | Красных стен из кирпича | Да и дьявол не забудет | Все заначки богача
Оно, однозначно, | Будет радовать свет. | Светло и прозрачно, | Через тысячу лет.
Жизнь доброй не была порой, | И сердце билось на осколки, | Болелось иногда хандрой, | И доставала из души иголки!
С быком не может сладить | Никто из оседлавших! | Успел в лицо нагадить | Кому-то из упавших!
И вытянутая вверх рука | Поймать хотела крокодила, | Но вдруг пропали облака, | Я пальцем в небо угодила.
За Боже мой приходит сон | В котором спать святое дело, | Но не услышать рядом стон | Тех в ком надежда догорела
Старец, муж, дитя, юнец, | Жил ты бедно иль богато- | Всех нас ждёт один конец | От рассвета до заката.
В ней триста песен и стихов | О жизни древнего Китая, | В ней мудрость двадцати веков | И плохо жить, о ней не зная
И становится прежнее - прошлым, | Заблуждений спадают оковы. | Все, что низменным было и пошлым, | Заменяют иные основы.
Кому показана диета, | А кто настолько исхудали, | Что, став подобием скелета, | Для всех чужими будто стали.
Я замечаю ветреные знаки, | Летящие у солнца и воды. | В одном из них не обошлось без драки, | В другом полным-полно было беды.
Я этот мир не променяю | На скуку, бледность серых дней. | Тебя в полёт я приглашаю, | В страну невиданных страстей.
Цветет сирень, | Цветет Наташа - | Прошёл мигрень, | Поспела каша.
Как часто в бреду полусонном | Как лет пережитых наследство | Всплывают в мозгу воспалённом | Картины далёкого детства
Скрипали олимпиада | Жертвой Боря стал Немцов | А с Навальным тут засада | Сняли маски с подлецов
Оно в простом прикосновении, | В улыбке, в слове, в цвете глаз. | Оно в теперешнем мгновении, | Всегда живёт в заблудших нас.
Как часто просто хочется молчанья, | Чтобы расслышать, что душа таит. | Нет, не помогут никакие знанья, | Пока она оглохшая болит.
И жизнь - не выставка, не сцена, | не бесполезность щедрых трат, | и если что и впрямь бесценно - | сердца, которые болят.
И снова утро без тебя, | И ночка одинока, | Ушла в ней память теребя, | Стоял я, у истока
Где рукою отмахнётся, | Чтобы стаю разогнать, | Где присядет, где нагнётся, | Не желая рифм принять…
Я не стану главой преклоняться, | Не согну я под плетью спины. | Я хочу на века называться. | Вольнодышащим Сыном страны.
По сердечному веленью, | Уступив в стране штурвал, | Молодому поколенью | Опыт свой передавал.
Осень рябиною дразнится, - | Холодные краски любя… | Ах, ты, красава-проказница, | Что ещё ждать от тебя?
Буйство оттенков и масок, | Множество граций и форм! | Кажется, нет больше красок | В мире жестоких реформ.
Мы будем верить в лучшее, порой, | Хоть старость у порога поджидает, | Мы будем верить и любить душой, | А молодость, в том прошлом исчезает.
Смерть мне дорого обойдётся, | Потеряю Вселенной суть, | Жизнь стремглав куда-то несётся, | Неизвестен мне этот путь.
В этом мире всё вовсе не так: | Ощущение - и в пальцах обман. | В зеркалах укрывается мрак, | Погружение в блестящий капкан ...
На корабле с волной столкнуться, | Под сильный ветер песни петь, | Дельфинам, чайкам улыбнуться | Под ярким солнцем загореть.
Не зря все встречи, расставанья, | В их повседневной суете. | Не зря звучат в любви признанья, | При свете дня и в темноте.
С врагами не могу я примириться, | Но приговор не будет очень строг: | Коль фуагрой вас манит заграница, | Вот Бог, как говорится, вон порог!
Ты гори, догорай, уголёк, | Без тебя оно как-то верней. | Пусть погаснет на век костерок, | В пепелище ненужных страстей.
Снова ночь легла на землю, | Тихий берег, мы одни – | Я тобою всеобъемлю | Мне отпущенные дни.
Мы молим, молим о прощении, | Встав на колени, позабыв. | Свою гордыню, и о мщении, | Душа, как будто на разрыв.
Разбудит пенье тропарей | Надежду, что уснуть успела. | Пусть будет чуточку теплей | Душе, зависимой от тела.
Они способны искренне любить, | Единственного очень долго ждать. | Такая разве может изменить ? | Неверностью её не замарать.
Её мелодия Небес | В гармонии твоей струны. | И мир без рамок и завес, | И нервы все оголены.
И если она у тебя Хрусталь, | Ты не обязан как ювелир. | У неё есть мужчина - сталь, | У неё есть мужчина - мир.
Один лишь я в дверную щель | Украдкой тихо наблюдаю, | Как разбираешь ты постель | И ненасытно дико таю.
Свет фонарный на полу рисует, | мне рисунки те не разобрать. | А цыганка карты вот тасует- | как жить дальше хочет подсказать.
Ширь с пахучей травой | В пору шелком назвать, | Гонит ветер волной | Серебристую гладь.
Как часто, возникает, тот вопрос, | В работе, дружбе, дома в споре. | Почему, думая не всерьёз, | Забываем о разговоре.
Она щебечет без конца | А тело жарко так кричит | Ладонь так близко у лица | В его душе огонь горит.
Но этому теперь не быть | Что делать дальше - не понятно | Про все хотелось позабыть | Иль просто бы вернуть обратно
Оберегать тебя я буду, | Любить я буду всё сильней. | Все обиды позабуду, | Возвращайся поскорей.
Вся – и порок, и совершенство, | Его закат, его восход… | Пути – от муки до блаженства | Он только в ней одной найдёт.
За те Сталинградские битвы - | Героя тогда получил , | Врагам не помогут молитвы - | Нам Зайцев Победу вручил …
Ты все еще жаждешь обманом | себе и другим доказать, | что юности легким туманом | ничуть не устала дышать.
С тупым опустошением | Вращаю жернова. | С наивным выражением | В словах ищу слова.
Улетела птица, | И куда не знаю, | И в ручье водица, | Холодна, скучаю.
А только даль.А только даль. | Опять зарницы в доме. | Опять последняя печаль. | В загадочной истоме.
Жаль, испарились росы: | - Трава все тяжелей! - | Точили долго косы | На родине моей.
Ну не у вас найдут другого | Чтоб обездолить вам в доход | Мольбы не счесть - того немного | Заткнёт что голосящий рот...
А медсестра больна, | И ей так мало лет, - | Не справится одна - | Одной держать ответ.
Не терпел оскорблений | Представляющих власть. | Испытал поселений | Наших северных страсть.
Не грусти, сомненьями не маясь! | Каждому природа срок отводит! | Молодость уходит не прощаясь! | Старость … не здороваясь приходит!
Но, что мешает в данный час | Не прибегая к чудесам | Уйти в загул, пуститься в пляс | Пройтись опять по облакам.
Чтоб понятно сразу стало - | Кто мудрец, а кто глупец. | И наглядно показало - | Кто хороший, кто подлец.
Хочется неторопливо | Пройденный путь оценить. | Было, скажу не игриво, | Время любить и дурить.
Защекочен каждый лист | Тёплыми лучами. | Ветер нежен, воздух чист | Божьими трудами.
Мороз сегодня укрепился - | В шесть чуть не десять на дворе, | Классический подсуетился, | Но не суровый в январе.
