Я хочу видеть тебя настоящего, | Обнажи предо мной свою душу. | Откажись от любого притворства, | Все напускное разрушив. # Настоящий</s>
Яви нам царство молодости вечной, | Что бы зарёй в сердцах полыхало. | И любил бы народ бесконечно, | И сердце бы горя не знало. # Безвременье</s>
Вы о детях вспомните своих! | Их глазами Бог на вас глядит! | Совесть оживите, пробудите, | Коль она в похмельных муках спит! # Попразднество Рождества Христова</s>
Рабочий день прошел удачно, | Мы задолбались от души: | На пару станций раскорячась, | Товарищ Панюшкин решил. # Рабочий день прошел удачно...</s>
А помнишь, как стояли в пробке? | Как спала я на твоем плече... | Все дни в моей памятной коробке | И лишь они напомнят о тебе. # Я помню...</s>
Со своими болями и целями, | Со своими ранами зажившими, | Прошлым поврежденные… и цельные, | Только словно душу обнажившие. # Закатное</s>
Вот,  и сижу,  мозгую, | Как бы чего не вышло | То ли открыть вторую | То ли Тебя услышать # Исправленному верить</s>
Серые волны бьются о скалы – | Кругом гиганты утёсы видны. | Чахлая зелень глядит средь камней – | Прячутся в щели. Испуганно смотрит. # Серые волны бьются о скалы</s>
Хотя нет! - глаза выдают, | там таится звериный страх. | Такие люди сильно пьют, | начиная прямо с раннего утра. # Спросите палача</s>
Машины Скорой прибывают, | Больных увозят.Места нет. | А Атом лица обжигает, | Перед глазами белый свет. # Памяти ликвидаторов Чернобыльской трагедии</s>
Поймал на слове - незачем общаться, | Надежда подо мной потрескалась как лёд. | Не мёрзнуть бы, держать за руку счастье - | Да только мне в ответ никто не подаёт. # Об отношениях</s>
На протяжении веков | Последнего тысячелетья | Секли культуру изуверски | Вандалов «строенные» плетья! # Молитвы Пр Лазарю Другу Божьему Четверодневному</s>
Побывав у смерти на краю, | От Твоей любви я помню радость. | Только вспоминая про Твою | Праведность, возвышенность и святость, # Лучше умереть</s>
Вернем бессонные все ночи, | И в трещинах от храпа стены, | И тот скандал на пляже в Сочи, | Где упрекали нас в изменах. | Терпеть все это нет уж мочи – # Монолог Евы</s>
Знаю. трудно со мной всегда, | Ключ ломался, пружина гнулась. | Застывал я в кровати тогда, | Но хотел, чтобы ты вернулась. # Странный механизм</s>
Этот праздник,зная обхождение, | так четыре буквы хороши! | праздную я,словно день рождения, | К юности проснувшейся души! # День Татьяны</s>
Хоть ушла когда-то к мужу, | Но... Он даже и тогда | От меня не отвернулся... | Так решила, и ушла... # Для любимого мужчины...</s>
Да пусть и вместе со страной, | Чего там, всей вселенной, | Пройдём мы путь, мирской - земной, | Всегда не долгий, тленный, # И ночь не та...</s>
Радость через край, что оценили, | Что мои понравились стихи. | Сколько лет они в душе бродили, | Были то лиричны, то лихи. # Себя я поэтессой не считала</s>
Кто писал записку, догадалась Таня, | От кого та роза, колятся шипы, | С нетерпением девочка ждёт, закат настанет, | Будет Таня в добрые погружаться сны. # Сон Танечки</s>
Подъёмной силы лопастей | Поднять автобусы хватало! | Великое стремление людей | Гиганты-вертолёты создавало. # Винтокрылый гигант</s>
Нынче ужасный мороз. За метелями | Чёрта не видно, не видно и Бога. | Кто ты такая? Зачем ты неделями | Ходишь за мной и стоишь у порога? # Тенью под окнами, дочерью брошенной</s>
Беременная женщина смотрела на луга, | И страсть от жизни сердце наполняла… | Страсть отдавала сердцу радость бытия, | А радость сердца — мудрость обретала. # Радость сердца</s>
А майор НКВД | Расценил, что Яшка – враг! | Рассекретивший «Катюши» | «Воевать» пойдёт в ГУЛАГ! # Молитвы Иконе Б-цы Сицилийская Дивногорская</s>
Шутка всё! Но в ней, конечно, есть, | Правда Божьей истины - тверда! | В третьей букве скрыта Его весть: | Вместе - значит, помощь жди всегда! # Размышления о буквах...</s>
Ходит, прибывний на место, кругами. | Нервы на взводе! В руке пистолет. | Топчет поляну сырую ногами. | Вот уже в день переходит рассвет! # Про еврейскую дуэль</s>
И наконец-то разразилась | Весны безудержная власть! | Без сожаленья раздарила | Всему живому её всласть! # Молитвы Сщмч Василию Анкирскому</s>
Бог - источник радости и премудрости. | Если будем перед собою честны; | Увидим и преодолеем все трудности, | Вырвемся из паучьх сетей сатаны. # Христос любовью побеждая зло</s>
С отчаяньем вокруг себя взираю: | О, люди, да придите же к добру! | Ведь государство наше умирает! | Не призывать же снова к топору! # Обида</s>
Опомнитесь! Услышьте! Бой идёт, | Не за тела - за души побеждённых, | Откройте ваши души и ваш дом, | Впустите Искупителя спасённых. # Духовная война</s>
Так гаснут звёзды во вселенной где-то, | В их свете смыла нету больше, ведь, | Жить без любви, наверно, можно долго, | Но это, нет, не жизнь, я знаю, ты поверь, # Никогда</s>
Ночи белой, томлённого | И прийти к разумению — | Убивают драконами | Не оживших во времени. # Между сфер бесконечности</s>
Ты не жди, что откроют глаза, | Под чужую дуду не пляши. | Под чужую — разруха, разлад. | Землю взял — обиходь и вспаши!.. # Правда Даже если и скажет солжёт</s>
От чего я погрустнел, | Вероятнее всего потому, | Что в огне, я сгорел, | И не нужен прах никому. # От чего я погрустнел</s>
Я вижу будущее часто | Оно встаёт передо мной | Как будто замысел фантаста | Как будто образ не земной # Терзают смутные виденья</s>
Дети – Маугли, и в клетках, как собаки, | На цепи сидящие порой - | В голоде, в холодном полумраке, | Хочешь - плачь, а хочешь - волком вой. # Где были все?</s>
Но вот толчок. И сразу вспыхнул свет, | Неведомой Планеты очертанья... | Ковром растений горизонт одет, | И множество каких- то светлых зданий. # В маленьком уютном городочке</s>
А во что мне ещё верить, | Когда чаша испита до дна? | Говорят, что у кошек девять | Жизней...У меня то она одна... # Сердце и разум</s>
Работайте братья и бейтесь | Боритесь себя не щадя | На милость врагов  не надейтесь | И верьте в друзей и в себя # Напрасно вы братья страдали</s>
И дом Ты мой, и я в Тебе, | Ты пощеди в моей борьбе, | Даш силы, ей в царствии покой, | Ты знаешь где и берег мой. # ИдомТымой, иявТебе</s>
Маленький мальчик чистил ружьё, | Маленький мальчик взял за цевьё, | Маленький мальчик нажал на курок, | Маленький мальчик пропустит урок… # Маленький мальчик</s>
Резко вдруг прервав рабочий диспут | И открыв ногой стальную дверь. | С широченною улыбкой входит Виктор | Как добыче радуется зверь: # Ода к рабочему</s>
Звоните же в веках, колокола! | То мирно, то призывно, то тревожно! | Звучат колокола и потеряться | Душе российской в жизни невозможно! # Молитвы Свят Тарасию Арх Константинопольскому</s>
Исполнил воинский приказ | и пал — овеян доблестью и честью. | Я незамеченный фугас, | но и граната, набитая местью. # Я незамеченный фугас</s>
И покатит день порой весеннею | С воркованьем мирных голубей. | Лермонтовым, Пушкиным, Есениным | Никогда не стану, хоть убей. # Ни Лермонтов, не Пушкин, не Есенин</s>
Люблю встречать рассвет осенний, | Когда в заливе полный штиль… | Залив не очень-то широк – | Всего каких-то пару миль! # Молитвы Блаженной Матроне Московской</s>
Тоска! | На небе тянет синь, | Все облака куда-то делись. | И пустота, куда ни кинь, | В семейной жизни только прелесть. # Одна</s>
Тянут жвачку дожди. Распогодится, | Может быть, через десять минут. | Я молюсь Пресвятой Богородице. | Пусть надежды мне счастье вернут. # В разлуке</s>
Ведь жизнь невозможно вписать, | И правила здесь неуместны. | По-разному можно читать | Святые писания и тексты. # Я боюсь святых...</s>
Быть может кто-то,мной обиженный, | Остался вдруг без поздравления... | А я на торте пьяной вишенкой | К нему рвалась,в его вселенную... # Послепраздничное...</s>
Турист никак не унимался | И, навострив по ветру нос, | С ухмылкой яростно пытался | Задать ещё один вопрос. # Интервью...</s>
Потерял одну как-то | и вторую оторвал с треском. | Как бандит с большого тракта | распахнулся резко. # Пуговка</s>
Во сне оказался            у подножия гор | В бамбуковой роще, в ущелии тесном | Очертили вершины  небесный простор, | Конец    и начало дороги небесной # Сон поклонение</s>
Друг друга мы без слова понимали, | Но лето чувств растаяло, как льды. | Обрушились на нас надежды скалы, | Иссяк родник, в нем больше нет воды – | Пора расстаться все-таки настала!.. # Пора расстаться</s>
И птицы первые вестники | Рады приходу тепла | И собираясь в оркестры | Поют на все голоса! # Пробуждение весны</s>
Изображения чёрно-белые, неуверенные, | Люди на фотке немного вне фокуса. | У девочек лица радостные, но растерянные, | Не то, что у меня, фотографирующего оболтуса. # Альбом фотографий</s>
Когда Солнце радует в зените | И открыт духовный поворот, | Ощущаешь на земной орбите | Красочное зарево высот. # Когда Солнце радует в зените</s>
Чтобы было веселей | Нужен с горки путь длинней, | Чтоб мальчишек обогнать, | Ну и с санок не упасть... # Называется зигзаг</s>
Боль, тоска, печаль и слёзы | Душат каждый день с утра, | Нет со мною мамы рядом, | Смотрят с грустью лишь глаза. # Мама-Святая</s>
если не тратишь ты времени зря - | каждый момент наполняет тебя… | сердце любовью подскажет свой путь - | будь просто чуток!… и это есть суть…. # и это есть суть...</s>
Знает мастер умелый | О любви и душе. | Этот мир оголтелый | Любит только клише. # Песни Света кочуют</s>
Что было не знают | И знать не хотят. | Стихи не читают, | Попса нарасхват. # Народные песни</s>
Были деньги – «прогоняли» | Слезы лили ВСЕ в печали | Выгнать просто, как вернуть? | Ведь Сайгид не даст зевнуть! # Алапаевск</s>
Ты оставил меня посреди января. | Я замёрзла тотчас же в разлуке. | Всё застыло во мне,хорошо мне зимой, | Подскажите, что делать весною? # Помогите</s>
Поставлю любимую чашку, | Чай крепкий тебе я налью. | – Как внучка, – ты спросишь, – Наташка? | Шалунью родную люблю. # Ночной разговор</s>
Он в каждую секунду с тобой рядом, | Тебя он направляет неустанно, | Чтоб взгляд его ты на пути заметил, | Чтоб развернул свой взгляд , услышал его речи. # Взляд Бога</s>
Мне, если честно, нимб совсем не нужен: | Проблем сейчас хватает без него. | Важнее, с головою был чтоб дружен - | Тогда не страшно в жизни ничего. # Пожелание Джо</s>
Дай Бог вам счастье в сей погожий день, | Тем, кто не знал хрустящий вкус горбушки, | Кому теперь читать романы лень, | Пить молоко из старой тёплой кружки... # Вопросы-зарисовки</s>
Журчали в далях журавли, | несли печали к югу. | Я сердцу говорил: «Не ври, | ты зря мне прочишь вьюгу!» # Любовь В Объятьях Осени</s>
От всех недугов и всех недругов, | Бесноватой толпы и нахлебников, | От болезней чумных ограждение, | От безумных врагов отражение. # От всех недугов</s>
Может быть роботу порой одинока, | может он встретил кого-то ещё, | но не сказал он учёным об этом, | играя так роль может давно. # На Марсе</s>
Лишь две руки природой ей дано, | Но сколько ими сделать суждено... | И каждый раз обнять своих детей, | И воплотить бесчисленно идей. # Сотворение Женщины</s>
Отдай цветок тому, кого так сильно ценишь. | И сделай это только если требует душа. | Отдай его тому,кого ты так лелеешь, | И на кого ты смотришь не дыша. # Цветы</s>
Мне нравилось вдруг оказаться в месте новом | В своих мечтах. И позже наяву | Я находила ключ ко всем замкам , засовам | И следовала зову своему. # Мечтать не вредно</s>
Ведь во все времена: | Мира или войны | В уникальном народе | Сила нашей страны! # В уникальном народе сила нашей страны</s>
Так громко щебечут птицы, | Так ярко горят глаза. | Добавить перца в пищу? # Палач</s>
Мир с ладошку: сегодня пестреют Багамы, | Завтра снова встречает Париж! | Небоскрёбы Нью-Йорка, и пальмы Панамы, | И экзотика гамбургских крыш. # Я тебе нагадаю, мой ангел</s>
Зажглась звезда в сочельник новью. | Рождён был ты, чтобы свет излучать; | Имя дано тебе самою любовью, | Той,которой ты был зачат. # Виктор</s>
Маша и медведь. Вот нож, а вот сеть. | Привяжи к ногам моим камень; | Те, кто легче воздуха, все равно с нами! # Маша и Медведь</s>
будто  гнал кто-то велосипед | долго гнал до далекого луга, | но остался заиленный след | от колес голубого «Салюта». # Мотивчик</s>
Мещанство-это вид болезни, | Души врождённая напасть. | Критином надо быть последним, | Чтоб к ней в объятия попасть. # Мещанство-это болезнь</s>
Были Личности в стране — | Те, что духом высоки! | Нынче вылезли везде | Псевдо-люди — сорняки! # Колючки</s>
Щедро так отзывается лаской, | Прикасается к струнам души | Самой дивной, прекраснейшей сказкой, | Открывая чудес миражи. # Сколько в ней безвозмездных даров!</s>
Немало сказано и сложено поэм, | Где вместо слов и звуков только чувства. | Есть только мы и никаких проблем, | Лишь красота весеннего безумства! # Ничего, кроме</s>
Казалось, совсем взрослый человек, | Должна бы стать смиреннее и строже, | Когда пустынный запоздалый век | Пронзает холод до смертельной дрожи. # Я каждый раз даю себе зарок</s>
Ах! Ты конь боевой, неуёмный конь! | Ох! Ты шашка моя самоточная! | А ещё есть в бою сила мощная – | Дружба кровью скреплённая прочная! # Молитвы Апостолу Фоме на Антипасху</s>
Люди словно Лихо | По земельке ходят | Там где было тихо | Города возводят # Лихо</s>
А народу...что же? | Штрафы и пеня. | Путина портреты... | Сказки и брехня. # Каждому-своё</s>
а ночью во сне | приснилось ты на коне | мчишься по земле | навстречу мне # ночью во сне</s>
От радости душа растёт, | А от невзгод она страдает, | Но после крылья обретёт, | Как бабочка - и это знает! # Благодарение</s>
Коварна муромская знать: | Не принята Февронья. | Пред выбором поставлен Князь: | Жена или Корона... # Легенда о Любви</s>
Прощаешься...Последняя молитва, | Последний гвоздь забит в судьбу. | Земля вращается,сбиваясь с ритма, | Перевернувшись не единожды в гробу. # Никто не ждет, никто не дышит в спину</s>
Я просыпаюсь, снова к жизни | Меня закружит хоровод | Любовь опять сменает мысли | Все тело хочет жить, живет # Мне нравится придумывать любовь</s>
Не раз об него спотыкался, | Однажды пребольно упал, | А он даже не почесался - | Он целенаправленно спал! # Исключительный тип</s>
Здесь неотступно тень скользит, | Инача все на свой уклад. | Перебирая хлам, трусит | Злословьем недалеких баб. # Там и тут</s>
В позабытом мной туманном сне | Повстречали вместе мы смерть свою. | Разве был это не просто сон? | Отчего-то слёзы лью. # В позабытом мной туманном сне</s>
Вроде, всё я успеваю, | И работать не ленюсь... | Канарейка ж, напевая, | На меня наводит грусть!.. # Снова сон чудной мне снится...</s>
Ты приходишь во снах часто. | Приглашаешь в свои ипостаси. | Но не слышу пока тебя я. | Только шёпот,словно ветер в ненастье. # Из цикла Сила рода</s>
В середине апреля дожди и мороз по ночам, | Скандинавский циклон заготовил нам снежную вьюгу. | И так холодно стало здесь даже крикливым грачам, | Что так рано вернулись из дальнего, тёплого юга. # Время - вечно давящая масса</s>
Бежали домой , в тишину, | На звёзды шептали желанья, | Учил меня видеть луну | Какой из боков к убыванию.. # Я часто с тобой говорю</s>
Что-то, где-то соблазнами сказки, | Скажут вам от незнанья  хвалясь, | Не ищите всех  слов  недостатки, | Выбор в жизни всегда только ваш. # Разворот</s>
Годами ран не заживляй, | Лишай надежды, жизни, кожи, | Но от Любви - не избавляй, - | Не обедняй мне душу, Боже... # Молитвы и проклятия любви</s>
В полупустом, жующем чипсы зале, | Смотрел любовный бесконечный сериал, | В нём кадры страстью огненной дышали, | Цветов нектаром и смертельным ядом жал. # Кто может чувство описать?</s>
Глаза блестят, кино, прогулки снова | А кофе обретает шанс вдвойне, | И пусть сработает волшебная подкова, | Дышать друг другом, но уже   наедине. # Весна</s>
Мы верим,что Господь поможет, | И ставим свечи за детей, | Бессонными ночами молим, | Без всяких выгод и затей. # Осенний листопад...</s>
День проходит как другой | под прессом кувалды, | загибаются дугой | люди от неправды. # Планета дураков</s>
Край жизни начинается в начале! | Потом мы постепенно все идем! | Чего бы боги нам не завещали, | Мы в этой жизни это не найдем! # Не найдем</s>
Припугнули, но не расстреляли, | До чего дурное слово - выжил, | И теперь как в тёплом одеяле: | Ничего не слышу и не вижу. # Выбор</s>
И выйти из дому уж страшно! | Повсюду камеры висят… | Как посадили нас изящно! | Дороги нет уже назад… # Заслужили</s>
Музыка гремела над городом. | Это наш день, | Мой родной и холодный. # С днём рождения нас</s>
Ой да на костях твоих спляшу я танец. | Будет очень весело, но только мне. | За свои грешочки ты мне всё заплатишь, | Потому что ты пришёл ко мне # Судный день</s>
Ярилин день, макушка лета, | Ярило, солнечный есть Бог, | Земля вокруг теплом согрета, | Во всем  Божественный есть дух. # Зарделась зорька на рассвете</s>
Удовольствие от ласк | Дуновенья принимает. | Велика у ласки власть | И ничуть не утомляет. # Сок</s>
хотел зухру пугнуть геннадий | карикатурой  на отелло | отделался  разметкой зебры | и тем что зрение не село # Мегадолбодибелизденки театральные трагические</s>
Соловьи распетушились; | Серенады до утра... | Рассвело,- зашебуршились | Птахам завтракать пора! # Младший брат</s>
Уже их сущности гранит… | Быть может время? Сторожит? | Да нет! Теперь уже громит!!! # Гранят алмазы и стекло...</s>
Сменил ты трактора рычаг | На взрыв снарядов, грохот боя... | В последний раз в твоих очах | Мелькнуло небо голубое. # Моей души односельчане</s>
Вас же теперь легко можно спутать с теми, | Кто на канале квакает, от натуги дрожа, | Страшней вас только лауреатки нобелевских премий, | Да и то не каждая, руку на сердце положа! # Пластика</s>
Но  от  чего  в  душе  моей  так  пусто... | И  нет  надежды  всё  переменить. | Не  мило  всё,  невыносимо  грустно... | Мой  дивный  сон,  я  не  могу  забыть! # Мой дивный сон, я не могу забыть!</s>
Но почему же в Новый год | Повсюду радостные лица?.. | Да потому что наш народ | Вовнутрь льёт всё, что может влиться. # Книга - О судьбе о нашей трудной</s>
...о господи, меня читает Весса.. | она - Поэт, совсем не поэтесса.. | спирается дыхание в зобу..., | и хочется превозносить судьбу, # О господи, меня читает Весса...</s>
В тот карман, где сердце, положил конвертик, | И тепло вдруг стало, и  душа поёт. | И нужда отпала возле печки греться: | Греет тот конвертик от того,  кто ждёт # Пишите письма</s>
Я не прижмусь к тебе родная | В счастливой старости своей | И не твоим теплом согрею | Я череду осенних дней # Ответ</s>
В ней фильмы не создаются, | и книг не читают почти, | и памятники ставят другие - | Бандеру, Петлюру ты чти. # Абстрактность свобод Украины</s>
Природу-Мать уничтожаем! | Ведь это же Господь наш Бог! | Уничтожаем безвозвратно, | Чтобы  нас Бог спасти не мог! # Молитвы Праведному Иоанну Русскому</s>
Услышать прекрасную песню | Весны, возрождения крик! | Дни стали длинней, интересней. | Приятно вдыхать каждый миг, # Так птицы поют</s>
И прежние мосты я все сжигаю, | Чтоб, если вдруг вернуться захотел, | Не смог ты это сделать. Я же знаю, | Как тягостен страдания удел. # Прощание</s>
Ваш оркестр, Ваша музыка | Для души как бальзам | И скажу очень просто – | БЛАГО-ДАРна я Вам. # Благодарность</s>
Слово за слово...  Соседи! | И зачем нам это всё? | Будто на Руси медведи | Правят жизнью весело... # Слово за слово...</s>
Сквозь дымку облаков глядит луна, | Там где-то заблудились наши сны. | В объятиях дождя царит весна, | И так близки, и так едины мы. # Счастье</s>
растёт растёт день ото дня | его законы не публичны | он может молча наблюдать | как быстро догорает спичка # страсти по Булгакову - Воланд</s>
Вижу… | Мрачные тени | Оставляют следы | И кривые ступени | Манят в бездну воды # Пейзаж</s>
Играло небо красками заката. | Лазурь небесная неслышно  уходила в ночь... | И дню апрельскому уж не было возврата... | Неспешно вечер  уносил все краски прочь... # Закат...</s>
Нас пронают, нас покупают... | Торгуют нами и страной. | При этом то кого ругают, | Кого считают сатаной? # Про торговлю</s>
Они ведут тропою славной | потомков в пелену веков, | напомнят тяжестью оков | свободу, втоптанную в кровь | добытой болью и утратой. # Россия</s>
Идите вы своей тропой, | Что вам даровано Судьбой. | За каждый шаг и свой ответ. | От Бога вам идёт привет. # Любить дано пока не всем</s>
Найти пытаюсь мостик я, | От прошлого и к нашим дням. | Уйти хочу от смерти я, | Вернуться к древности корням. # Не каюсь я, не каюсь я...</s>
Накрывает и стелется снег пеленой, | Иссякает напор бесконечной метели, | Повезло, что циклон не такой затяжной, | И огни во дворе моём вновь посветлели… # Зимняя пурга</s>
В весну с благодатью | Душа уж не верит - | Холодное солнце | Зимой не согреет... # Зимняя вишня</s>
Полиция почти нам не мешала, | Ходили год с плакатами толпой, | По нашим трём хабаровским увалам, | Но пользы от ходьбы той, никакой. # Трёхгорбый верблюд</s>
Сердце грустит. | Чайка кружит. | Пой, гитара, пой. # Пой, гитара</s>
За окном дымок клубится. | Для кого-то просто дым. | Золотая колесница | Ускользает в неба высь. # Дым и путь</s>
В такой момент, без всякого витийства, | Я думал, отчего я так устал, | Что в жизни я своей самоубийство | Вдруг выходом достойным посчитал? - # На самосожжение Ирины Славиной</s>
Залило сады в апреле | Вновь вишнёвым молоком, | Словно белые метели | В гости прибыли тайком. # Вишни, вишенки- подружки</s>
Какую придумать вакцину, | Чтоб сделать прививку от Зла? | И в силах ли вся медицина | Вернуть нам тот внутренний Храм: # Прививка от Зла</s>
И мы беседуем о том, | Как он прекрасен – предвечерний | Тот колокольный перезвон, | Людей сзывающий к вечерне. # Предзакатное, предвосходное</s>
Смотрю  вокруг  на лес  и воду, | В  жизни так  же,  как в  природе, | Грозы, беды да  тревоги, | Надо потерпеть   немного. # Весенним воздухом дышу</s>
И ничего не видится отчётливей, | чем силуэт, для встреч не предназначенный. | Мы всё без слов с тобой переиначили | и разминулись встреч неповоротами. # Отсутствие</s>
И вам как ни хотелось бы | Побольше ох и ах, | Не будет мягкотелости | В классических стихах. # Вам, лирики и критики...</s>
На воде вижу солнышка блики... | РОД не-бесный, Ты мрак оскопи! | Укрепи же нас, Предок великий! | В этой древней борьбе укрепи! # Крылья Прави растут за спиной!</s>
Пусть Пасха принесет Достаток, | Удачу, Радость, и Успех! | И каждый миг пусть будет Сладок! | И чтоб Успех в Семье, - у Всех! # Со светлой Пасхой!</s>
Если дали туманны и не стать на крыло, | Если сонную радость сонмом дней унесло, | Тихо меряю вёрсты потемневшего дня, | Снежный ангел на небе утешает меня. # Если дали туманны и не стать на крыло...</s>
Продают землю, воду и даже воздух! | Иуды пришли под знаком – креста! | Расплачиваться придется нашим детям | На паперти, за «Ради Христа» # Рабство!</s>
не поможет никто | ты уже далеко | до свидания всем, до свиданья............. # сумасшествие</s>
Немало чудес в сентябре | И в первой снежинке от Бога. | Завяли цветы в серебре | И нам красоваться недолго… # Сборник Верхом на бабочке</s>
За полчаса до тишины | Гремела музыка салютов, | Цветные искры парашютов | Касались стропами луны. # За полчаса</s>
Кто смертью храбрых пал в неволе | В боях, измученный войной… | Кого хранят погосты в поле, | Кто не придёт уже домой… # Когда уходят ветераны...</s>
А с тобой и я без горя: | Молоко — недалеко. | Да скажу: еще какое — | Слаще сливок молоко. # Послевоенная быль</s>
Упала и может быть ждёт не дождётся, | Когда ж я её разыщу и включу. | А рыжее Солнце на небе  тихонько смеётся, | - Ищи, я ночью Луной тебе подсвечу. # Мой сказочный мир...</s>
Сумбур в порядок превратить | Порой случается. | Но нужно волю приложить, | И всё исправится. # Я так хочу тебя забыть</s>
Поскромнее нам быть надо, | в эти игры не играть, | привести себя в порядок | и о большем не мечтать. # только так</s>
Снег, пути отрезав, | Завалил мосты; | Вновь ни пьян, ни трезв, а | Лист, перо и ты. # Всё белО - и снега, и бумага</s>
Стихи ни есть набор мечтаний, | Точнее он, но не один. | Стихи порою глубже таен, | Вот только с множеством глубин. # Почему?</s>
На берегу Байкальских вод | Стою один и восхищаюсь, | Как должен счастлив быть народ, | Таким богатством обладая. # На берегу Байкальских вод</s>
И рыдая в деснице Феба, | звуки льются на все лады, | чтобы Вы на паркете неба | оставляли свои следы. # Белый вальс</s>
Иногда бодрячком стараюсь | Жить, по  улице я прошвырнусь, | На велике дома катаюсь, | И педали уносят грусть.... # Люблю тишину!</s>
Там, на небе, твоё светило, | За воздвигнутой мной горой. | Оно долго тебе светило | Пока мы наслаждались тьмой. # Мы - жизнь!</s>
Мы встретились с тобою слишком рано | И я не та, и ты ещё не тот, | Ещё слишком мала и так упряма | А ты все смотришь в даль, за горизонт. # Полюбить желаю...</s>
Не все расстояния можно преодолеть, | В гололёд и ливень горит красный свет. | Но всё же чаще те дни, когда вокруг солнца свет, | А дорога короче, исправен велосипед! # Вело</s>
Растворился закат | В сизом облаке дыма | Я забыл что когда-то | Ты была мной любима # Смайл-две точки и скобка</s>
А утром всё теряется, | Как мраком покрывается. | От сонного видения | Останется смятение. # Останется смятение</s>
И с каждым днём сильнее просыпается природа, | И вот уже деревья одеваются в листву | Ты ощущаешь сердцем, как окутала свобода. | Весна пьянит! Она подобна торжеству. # Расправь весне навстречу крылья</s>
Поверь, инициатором была ведь не я. | Думаю, твоя тоже есть тут вина. | Ты нервные клетки ему убиваешь, | Он ведь мужчина, а ты забываешь. # Письмо от любовницы</s>
Ступени вверх преодолеть | Не всем дано, не всем под силу, | Легко упасть , но как взлететь, | Когда на ноги гири прицепили. # Ступени вверх преодолеть</s>
Стройным стал рыжий котик и ловким, | Не поймаешь ведь мышь без сноровки. | И опять слышна песня кота: | “Ах, какая в саду красота!” # Котик на диете</s>
Он написал в письме открытом | Что старость, Богу-не канва. | Так многих молодостью насытил | Его во власть, обличины слова. # Страдала тоскою Афродита</s>
Ликуют леса в пересвистах мажорами, | В небесной лазури игра облаков, | Волнует дерев стан шелковыми флёрами, | Он так непорочен, как ангел Христов! # Сердечными трелями мая делюсь</s>
